標題,地址,屋齡,類型,建坪,主+陽,格局,樓層,車位,總價(萬),編號,抓取時間
近竹南台積電鴻柏鴻喆３房,苗栗縣竹南鎮大埔街,8.2年,大樓,45.86,24.79,3房2廳2衛,3樓/14樓,坡道平面車位,1,7007WR,2025-10-03 08:17:42
⭐龍山路電梯邊間採光三房,苗栗縣竹南鎮龍山路一段,30.5年,華廈,36.26,25.6,3房2廳1.5衛,7樓/7樓,坡道機械車位,756,6864ZX,2025-10-03 08:17:42
大埔重劃區大面寬臨路店面,苗栗縣竹南鎮大埔街,8.2年,店面,48.95,28.63,1廳1衛,1樓/14樓,坡道平面車位,1,4653AD,2025-10-03 08:17:42
苗栗吉祥透天,苗栗縣苗栗市吉祥,42.8年,透天,27.77,26.14,3房3廳2衛(含加蓋1房1廳),1-2樓/2樓,無車位,298,2471ZR,2025-10-03 08:17:42
近尚順三房平面車位,苗栗縣頭份市自立街,11.8年,華廈,52.86,30.65,3房2廳2衛,2樓/7樓,坡道平面車位,1,9240UV,2025-10-03 08:17:42
歡迎賞屋美居謙里兩房,苗栗縣頭份市公北一路,1.1年,大樓,33.14,17.55,2房2廳1衛,16樓/18樓,坡道平面車位,1,2142LG,2025-10-03 08:17:42
歲月光影｜大面寬日式洋房,苗栗縣大湖鄉忠孝路,88.8年,土地,146.28,26.04,1房1廳1衛,1-1樓/1樓,無車位,3,6220ZF,2025-10-03 08:17:42
頭份市中心電梯美屋有車位,苗栗縣頭份市自立街,14.2年,辦公,20.06,11.94,2房2廳1衛1室(含加蓋2房),2樓/6樓,坡道機械車位,890,6052KJ,2025-10-03 08:17:42
苗栗為公段面寬大土地,苗栗縣苗栗市嘉盛街,,土地,1261.84,,,,無車位,2,4295DL,2025-10-03 08:17:42
信德新村邊間明亮透天,苗栗縣頭份市信德新村,38.2年,透天,39.03,37.39,3房2廳1.5衛(含加蓋1房),1-2樓/2樓,無車位,498,9390QT,2025-10-03 08:17:42
慈濟園區旁方正土地,苗栗縣苗栗市中華路,,土地,221.81,,,,無車位,4,9964CZ,2025-10-03 08:17:51
近公館交流道黃金雙店面,苗栗縣公館鄉五谷,44.7年,店面/土地,125.79,117.69,7房3廳5衛(含加蓋1衛),1-3樓/3樓,無車位,1,6358SH,2025-10-03 08:17:51
日光晨曦角間採光住店,苗栗縣竹南鎮科專八路,1.8年,透天/店面,49.94,41.98,4房2廳4衛,1-3樓/3樓,無車位,2,2379FS,2025-10-03 08:17:51
苑裡方正土地,苗栗縣苑裡鎮苗四十縣道苑坑段,,土地,1125.32,,,0樓/0樓,無車位,1,02672E,2025-10-03 08:17:51
竹南近台積電店面可作商辦,苗栗縣竹南鎮科專六路,9.9年,店面/辦公,41.91,35.27,2房1廳1衛(含加蓋2房),1樓/5樓,無車位,1,85891T,2025-10-03 08:17:51
頭份稀有。大面寬優質美墅,苗栗縣頭份市八德二路,19.5年,透天,53.93,53.93,3房2廳3衛,1-4樓/4樓,無車位,1,9269PW,2025-10-03 08:17:51
苗栗近後龍火車站千坪廠房,苗栗縣後龍鎮田心,41.6年,廠房/辦公,1413.58,1247.27,5廳7衛10室(含加蓋1廳1衛1室),B1-4樓/4樓,無車位,15,5636JT,2025-10-03 08:17:51
專任竹南精華大地坪透店,苗栗縣竹南鎮中正路,44.2年,店面/透天,110.7,102.69,6房4廳4衛,1-2樓/2樓,無車位,5,1917AA,2025-10-03 08:17:51
祥發街天井採光透天,苗栗縣苗栗市祥發街,26.6年,透天,141.53,136.61,7房2廳4衛3室,1-4樓/4樓,無車位,2,7759JQ,2025-10-03 08:17:51
居品ＴｗｉｎＰａｒｋ,苗栗縣頭份市公北二路,預售,大樓,54.03,29.46,3房2廳2衛,11樓/18樓,坡道平面車位,2,4000WN,2025-10-03 08:17:51
苗栗南庄土地約９８６坪,苗栗縣南庄鄉四灣,,土地,985.55,,2房2廳1衛1室(含加蓋2房2廳1衛1室),1-1樓/1樓,無車位,980,4913VN,2025-10-03 08:17:51
專任苗栗鴨母坑七千坪土地,苗栗縣西湖鄉１１９縣道,,土地,7578.23,,,0樓/0樓,無車位,1,62188N,2025-10-03 08:17:51
頭份方正面寬土地,苗栗縣頭份市信東路二段,,土地,71.46,,,,無車位,2,8476HK,2025-10-03 08:17:51
頭份大面積平坦農地,苗栗縣頭份市正隆路,,土地,833.28,,,,無車位,1,75624K,2025-10-03 08:17:51
臨約３０米省道三角窗店面,苗栗縣苑裡鎮介壽路,1.7年,店面,80.88,80.88,1廳1衛1室,1-1樓/1樓,無車位,4,4588ZG,2025-10-03 08:17:51
永興國小旁土地,苗栗縣獅潭鄉中豐公路,,土地,114.18,,,,無車位,338,94935M,2025-10-03 08:17:51
店長推薦苗栗獨棟透天別墅,苗栗縣苗栗市北龍岡,28.3年,別墅/透天,84.68,81.79,3房5廳3衛,1-4樓/4樓,無車位,2,9040VU,2025-10-03 08:17:51
竹南科學園區周邊地可分售,苗栗縣竹南鎮中華路,,土地,705.89,,,,無車位,8,3715TW,2025-10-03 08:17:51
後龍火車站附近土地,苗栗縣後龍鎮田心路,,土地,58.99,,,,無車位,885,7571RL,2025-10-03 08:17:51
苗栗頭份千坪乙建土地,苗栗縣頭份市中正二路,37.6年,土地,1238.69,153.19,9房4廳8衛1室(含加蓋1衛1室),1-4樓/4樓,無車位,30,8758VC,2025-10-03 08:17:51
苗栗市法院旁開心小農地,苗栗縣苗栗市勝利路,,土地,109.2,,,,無車位,1,6260AL,2025-10-03 08:17:59
苗栗頭份千坪乙建土地,苗栗縣頭份市中正二路,37.6年,土地,1238.69,153.19,9房4廳8衛1室(含加蓋1衛1室),1-4樓/4樓,無車位,30,8758VC,2025-10-03 08:17:59
後龍火車站附近土地,苗栗縣後龍鎮田心路,,土地,58.99,,,,無車位,885,7571RL,2025-10-03 08:17:59
頭份臨路大面寬土地,苗栗縣頭份市東庄段,,土地,247.75,,,,無車位,11,67486L,2025-10-03 08:17:59
大湖優質渡假招待所大土地,苗栗縣大湖鄉大南勢,13.6年,土地,6112.92,30.25,2廳,1-1樓/1樓,無車位,3,69604M,2025-10-03 08:17:59
近聯合大學２千坪丙建用地,苗栗縣苗栗市聯大路,,土地,2214.3,,,,無車位,19,1873AR,2025-10-03 08:17:59
西濱旁千坪農牧用地,苗栗縣通霄鎮鎮安路,,土地,2636.92,,,,無車位,1,0440ZL,2025-10-03 08:17:59
苗栗飛鳳景觀山莊地７千坪,苗栗縣頭屋鄉飛鳳,,土地,7389.47,,6房2廳6衛1室(含加蓋6房2廳6衛1室),1-3樓/3樓,無車位,2,2586JP,2025-10-03 08:17:59
頭份三灣宜畜牧養殖露營地,苗栗縣三灣鄉下林坪道,,土地,2985.37,,,,無車位,1,8732QY,2025-10-03 08:17:59
沏茶好地★苗栗鯉魚潭景觀,苗栗縣三義鄉三櫃,,土地,2577.8,,1衛1室(含加蓋1衛1室),1-1樓/1樓,無車位,6,1587JP,2025-10-03 08:17:59
光復路黃金角間店面,苗栗縣竹南鎮光復路,12.9年,店面,303.34,250.27,23房2廳25衛,B1-6樓/6樓,無車位,8,2895ZV,2025-10-03 08:17:59
三義木雕街哈比屋旁大土地,苗栗縣三義鄉重河路,,土地,4567.02,,,,無車位,9,29787G,2025-10-03 08:17:59
近竹南車站三房,苗栗縣竹南鎮維新路,38.9年,公寓,25.88,21.34,3房2廳2衛,4樓/5樓,無車位,380,0370VS,2025-10-03 08:17:59
歡迎來電！苗栗有水電。地,苗栗縣西湖鄉四湖,,土地,1325.37,,,,無車位,1,39026K,2025-10-03 08:17:59
專任約苗栗後龍崎頂段土地,苗栗縣後龍鎮苗三二鄉道,,土地,2869.52,,,,無車位,1,3581ZV,2025-10-03 08:17:59
育達１樓大套房,苗栗縣造橋鄉育英八街,23.5年,公寓,8.08,5.48,1房1衛,1樓/4樓,無車位,178,8087YZ,2025-10-03 08:17:59
苑裡大面寬優質土地,苗栗縣苑裡鎮介壽路,,土地,1123.45,,,,無車位,17,6142JJ,2025-10-03 08:17:59
苗栗丁建土地約３４５１坪,苗栗縣南庄鄉四灣,46.0年,土地/廠房,550.45,550.45,1廳1衛,1-2樓/2樓,無車位,26,5351KR,2025-10-03 08:17:59
南庄嶺秀登峰稀有土地,苗栗縣南庄鄉四灣一五鄰,,土地,835.19,,,,無車位,900,96936W,2025-10-03 08:17:59
近竹南火車站方正美土地,苗栗縣竹南鎮維新路,,土地,28.67,,,,無車位,2,10718U,2025-10-03 08:17:59
大湖段７６２－１１５林業,苗栗縣大湖鄉細道邦道路,,土地,3867.46,,,,無車位,386,9267VL,2025-10-03 08:18:06
苗栗銅鑼方正臨路土地,苗栗縣銅鑼鄉中平路,,土地,1026.28,,,,無車位,3,0299GC,2025-10-03 08:18:06
竹南新山佳段農地,苗栗縣竹南鎮公義路,,土地,1185.2,,,,無車位,13,1866PC,2025-10-03 08:18:06
苗栗清幽開心農場,苗栗縣苗栗市四角坪,,土地,819.4,,,,無車位,850,6850VW,2025-10-03 08:18:06
苗栗公館鄉面寬農地,苗栗縣公館鄉玉泉,,土地,556,,,,無車位,1,9542BT,2025-10-03 08:18:06
大埔重劃區百坪方正土地,苗栗縣竹南鎮科專三路,,土地,135.02,,,,無車位,4,2567UX,2025-10-03 08:18:06
竹南運動公園３房平面車位,苗栗縣竹南鎮德義路,預售,大樓,42.52,23.81,3房2廳2衛,3樓/11樓,坡道平面車位,1,7491XC,2025-10-03 08:18:06
湖光山色避暑勝地,苗栗縣造橋鄉九車籠二寮坑,,土地,839.1,,3房1廳1衛(含加蓋3房1廳1衛),1樓/2樓,無車位,700,93590H,2025-10-03 08:18:06
卓蘭臨路平坦農地,苗栗縣卓蘭鎮西坪,,土地,1533.46,,2房2廳2衛(含加蓋2房2廳2衛),1-2樓/2樓,無車位,2,37906F,2025-10-03 08:18:06
近公館市區農地Ａ,苗栗縣公館鄉大東路,,土地,291.91,,,,無車位,696,2118RM,2025-10-03 08:18:06
近飛牛牧場美地,苗栗縣通霄鎮一二一縣道,,土地,559.63,,,,無車位,799,7921ST,2025-10-03 08:18:06
公館臨路土地,苗栗縣公館鄉苗二六鄉道,,土地,856.08,,,,無車位,2,7833PU,2025-10-03 08:18:06
苑裡啟心八路臨路土地２,苗栗縣苑裡鎮啟心八路,,土地,448.78,,,,無車位,615,40554X,2025-10-03 08:18:06
苗栗獅潭｜美地｜推薦,苗栗縣獅潭鄉大東勢道,,土地,761.7,,,,無車位,1,9872WC,2025-10-03 08:18:06
苑裡啟心八路臨路土地１,苗栗縣苑裡鎮啟心八路,,土地,458.52,,,,無車位,625,9079RS,2025-10-03 08:18:06
苗栗田園美屋透天,苗栗縣苑裡鎮泰田,8.8年,透天,51.59,51.59,4房2廳4衛1室,1-3樓/3樓,一樓平面車位,1,6651VW,2025-10-03 08:18:06
【稀有】苗栗土地,苗栗縣銅鑼鄉一二八縣道,,土地,808.82,,,,無車位,660,53240A,2025-10-03 08:18:06
銅鑼土地,苗栗縣銅鑼鄉七十份,35.6年,土地,2379.92,419.37,32房3廳33衛(含加蓋11房1廳14衛),1-2樓/2樓,無車位,18,6428PJ,2025-10-03 08:18:06
近公館市區農地Ｂ,苗栗縣公館鄉館東,,土地,448.31,,,,無車位,1,0242BN,2025-10-03 08:18:06
竹南仁愛路稀有土地釋出,苗栗縣竹南鎮仁愛路,,土地,99.27,,,,無車位,4,4813VK,2025-10-03 08:18:06
銅科旁稀有農地,苗栗縣銅鑼鄉銅科北路,,土地,886.87,,,,無車位,1,1774XV,2025-10-03 08:18:17
卓蘭好山好水好視野農地,苗栗縣卓蘭鎮酸柑湖農路,,土地,1042.74,,,0樓/0樓,無車位,1,48905R,2025-10-03 08:18:17
竹科竹南科學園區土地６,苗栗縣竹南鎮仁愛路,,土地,245.26,,,,無車位,9,68388Z,2025-10-03 08:18:17
降價苗栗市區低總住宅商辦,苗栗縣苗栗市中山路,41.2年,公寓/辦公,18.03,14.67,1廳2衛,6樓/6樓,無車位,276,9180YG,2025-10-03 08:18:17
竹科竹南科學園區土地１,苗栗縣竹南鎮公義路,,土地,262.68,,,,無車位,10,3100MQ,2025-10-03 08:18:17
✈好山好水銅鑼土地,苗栗縣銅鑼鄉一二八縣道,,土地,808.82,,1廳(含加蓋1廳),0樓/0樓,無車位,850,76208D,2025-10-03 08:18:17
苗栗南庄休閒山莊旁土地Ａ,苗栗縣南庄鄉四十二份,,土地,756.25,,,,無車位,756,32915J,2025-10-03 08:18:17
苗栗南庄休閒山莊旁土地Ｂ,苗栗縣南庄鄉四二份,,土地,756.25,,,,無車位,756,76863M,2025-10-03 08:18:17
竹科竹南科學園區土地４,苗栗縣竹南鎮科專五路,,土地,337.03,,,,無車位,12,4553MP,2025-10-03 08:18:17
竹南金雞母大透店,苗栗縣竹南鎮光復路,13.0年,店面/套房,165.49,159.56,20房1廳21衛(含加蓋1房1衛),1-4樓/4樓,無車位,6,96876J,2025-10-03 08:18:17
苗栗頭份美三房雙車位,苗栗縣頭份市中華路,4.9年,華廈,42.27,25.96,3房2廳2衛,2樓/5樓,兩個以上車位,1,9552QC,2025-10-03 08:18:17
品藏捷笙ＡＲＴ＋,苗栗縣竹南鎮公北三路,預售,大樓,65.99,34.65,3房2廳2衛,8樓/15樓,兩個以上車位,2,6146ZG,2025-10-03 08:18:17
苗栗國華路土地１,苗栗縣苗栗市國華路,,土地,43.95,,,,無車位,1,13183K,2025-10-03 08:18:17
自用渡假好農地,苗栗縣銅鑼鄉一一九縣道,,土地,477.35,,,,無車位,480,7934XQ,2025-10-03 08:18:17
夢想鄉居小田園,苗栗縣銅鑼鄉一一九縣道,,土地,778.03,,,,無車位,680,9964XV,2025-10-03 08:18:17
苗栗市優質投資標的,苗栗縣苗栗市文發路,17.5年,其它,36.93,31.28,1廳1衛1室(含加蓋1衛),1-1樓/1樓,無車位,2,5238AP,2025-10-03 08:18:17
【優質農地】釋出,苗栗縣後龍鎮中心路,,土地,737.8,,,,無車位,1,34696V,2025-10-03 08:18:17
降價苗栗３－５樓住宅商辦,苗栗縣苗栗市中山路,41.2年,公寓/辦公,56.25,49.53,2房3廳4衛,3-5樓/6樓,無車位,830,4596YH,2025-10-03 08:18:17
聯合大學旁丙種建築用地,苗栗縣苗栗市聯大路,,土地,2263.51,,,,無車位,19,2699HG,2025-10-03 08:18:17
苗栗【農】稀有田地１,苗栗縣公館鄉龍汶公路,,土地,641.3,,,,無車位,1,46902F,2025-10-03 08:18:17
苗栗【農】稀有田地２,苗栗縣公館鄉龍汶公路,,土地,363,,,,無車位,800,77341L,2025-10-03 08:18:25
熠熠生輝晴曦苗栗三角透天,苗栗縣苗栗市新東街,52.2年,店面/透天,195.12,138.51,5廳6衛(含加蓋1廳2衛),B1-3樓/3樓,無車位,5,15345T,2025-10-03 08:18:25
稀有苗栗公館鄉農地,苗栗縣公館鄉館愛路,,土地,986.82,,,,無車位,1,0451LG,2025-10-03 08:18:25
苗四六鄉道土地,苗栗縣苑裡鎮苗四六鄉道,,土地,858.95,,,,無車位,800,92824Z,2025-10-03 08:18:25
三灣北埔段臨路土地,苗栗縣三灣鄉銅埔農路,,土地,1613.54,,,0樓/0樓,無車位,2,6959FF,2025-10-03 08:18:25
近莫內祕密花園土地,苗栗縣銅鑼鄉一一九縣道,,土地,1031.58,,,,無車位,880,2952KX,2025-10-03 08:18:25
秘境農地輕鬆享,苗栗縣銅鑼鄉一一九縣道,,土地,944.16,,,,無車位,680,9859CN,2025-10-03 08:18:25
大湖市區低總價透天,苗栗縣大湖鄉文化街,12.0年,透天/店面,61.16,57.02,6房2廳5衛(含加蓋2房1廳),1-3樓/3樓,無車位,1,7040HP,2025-10-03 08:18:25
苗栗國華路土地２,苗栗縣苗栗市福興街,,土地,27.03,,,,無車位,810,59745L,2025-10-03 08:18:25
苗栗通霄６１道路旁土地,苗栗縣通霄鎮中山路,,土地,5521.26,,,,無車位,2,53904H,2025-10-03 08:18:25
南庄土地丙建＋農地,苗栗縣南庄鄉里金管路,,土地,938.79,,,0樓/0樓,無車位,1,1104MS,2025-10-03 08:18:25
台三線旁獅潭和興土地,苗栗縣獅潭鄉中豐公路,,土地,3025,,,,無車位,1,1040KG,2025-10-03 08:18:25
苗栗出礦坑土地,苗栗縣公館鄉中油專用道路出礦坑段,,土地,1107.45,,,,無車位,780,4798AT,2025-10-03 08:18:25
品未來・未來家的起點,苗栗縣竹南鎮新南街,14.0年,華廈,33.7,24.53,2房2廳2衛,5樓/6樓,一樓平面車位,1,8948XQ,2025-10-03 08:18:25
苗栗紫園街土地,苗栗縣苗栗市紫園街,,土地,37.32,,1房1廳2衛(含加蓋1房1廳2衛),1-1樓/1樓,無車位,498,5485VJ,2025-10-03 08:18:25
苗栗唯美莊園臨路土地,苗栗縣三灣鄉竹湖,,土地,2898.56,,1廳1衛(含加蓋1廳1衛),1樓/1樓,無車位,1,71323L,2025-10-03 08:18:25
頭屋象山美透天珠寶盒,苗栗縣頭屋鄉象山路,30.6年,透天,56.23,55.94,5房2廳3衛,1-4樓/4樓,無車位,958,4127YC,2025-10-03 08:18:25
近苗北藝文中心超黃金店面,苗栗縣竹南鎮公園路,10.6年,店面,92.89,69.43,2廳2衛,1-2樓/15樓,坡道平面車位,5,6040TQ,2025-10-03 08:18:25
正中正路大地坪透店,苗栗縣苗栗市中正路,39.0年,店面,82.17,64.04,3房2廳2衛,B1-2樓/2樓,無車位,2,9518GM,2025-10-03 08:18:25
三義鄉龍騰段萬坪農地,苗栗縣三義鄉苗四九鄉道,,土地,12425.52,,,,無車位,7,5582YL,2025-10-03 08:18:25
火炎山方正農地,苗栗縣苑裡鎮火炎山十路,,土地,1156.36,,,,無車位,2,8631KQ,2025-10-03 08:18:34
苗栗公館鄉臨路紅棗園,苗栗縣公館鄉館前路,,土地,575.76,,,,無車位,798,8353TG,2025-10-03 08:18:34
大湖段７６８農牧地,苗栗縣大湖鄉細道邦道路,,土地,164.26,,,,無車位,139,1459YL,2025-10-03 08:18:34
經國路大面寬地約５４４坪,苗栗縣卓蘭鎮經國路,,土地,544.2,,,,無車位,2,1627ZY,2025-10-03 08:18:34
造橋千坪稀有土地,苗栗縣造橋鄉禮蘭路,,土地,1898.95,,,,無車位,1,4332FU,2025-10-03 08:18:34
大湖段７６２－９５農牧地,苗栗縣大湖鄉細道邦道路,,土地,610.14,,,,無車位,518,2908GK,2025-10-03 08:18:34
大湖段２０８－１４６農牧,苗栗縣大湖鄉細道邦道路,,土地,605.91,,,,無車位,515,8156GQ,2025-10-03 08:18:34
近竹南火車站黃金大透店,苗栗縣頭份市信一街,16.0年,店面/套房,145.91,133.85,12房1廳12衛,1-4樓/4樓,無車位,3,00685S,2025-10-03 08:18:34
南苗商業區收租透天金店面,苗栗縣苗栗市中正路,31.3年,店面/透天,96.35,88.9,5房3廳7衛2室(含加蓋1室),1-5樓/5樓,無車位,2,4361WP,2025-10-03 08:18:34
竹南市中心金店面,苗栗縣竹南鎮立達街,16.6年,店面,79.68,74.38,3房2廳4衛,1-3樓/3樓,無車位,3,4367VV,2025-10-03 08:18:34
苗栗三灣土地,苗栗縣三灣鄉九車籠二寮坑道路,,土地,431.37,,,,無車位,458,9969JF,2025-10-03 08:18:34
苗栗西湖土地,苗栗縣西湖鄉苗二八鄉道,,土地,175.45,,,,無車位,168,9960PK,2025-10-03 08:18:34
苑裡柑社段方正農地,苗栗縣苑裡鎮田中五路,,土地,500.94,,,,無車位,1,0701KU,2025-10-03 08:18:34
苗栗通霄臨路千坪農地,苗栗縣通霄鎮新生路,,土地,1225.36,,,,無車位,6,76323B,2025-10-03 08:18:34
西濱旁農地,苗栗縣通霄鎮鎮安路,,土地,1108.83,,,,無車位,825,8197RT,2025-10-03 08:18:34
苗栗平坦農地,苗栗縣通霄鎮鎮平路,,土地,1528.08,,,,無車位,1,8242DP,2025-10-03 08:18:34
苗栗通霄農地,苗栗縣通霄鎮南和路二段,,土地,381.17,,,,無車位,298,4625PK,2025-10-03 08:18:34
【農地】歡樂無限自給自足,苗栗縣公館鄉龍汶公路,,土地,1004.3,,,,無車位,2,24109H,2025-10-03 08:18:34
苗栗公館農地,苗栗縣公館鄉苗二六鄉道,,土地,963.77,,,,無車位,598,42666Y,2025-10-03 08:18:34
便宜苗栗通霄置產自用土地,苗栗縣通霄鎮北勢窩路,,土地,1990,,,,無車位,480,5493LH,2025-10-03 08:18:34
苗栗快樂農地,苗栗縣苑裡鎮苗四七鄉道,,土地,573.66,,,,無車位,688,7522ZW,2025-10-03 08:18:43
苗栗聯大土地１,苗栗縣苗栗市苗三四之二鄉道,,土地,566.58,,,,無車位,498,3082CR,2025-10-03 08:18:43
苗栗聯大土地２,苗栗縣苗栗市苗三四之二鄉道,,土地,90.95,,,,無車位,98,3861DK,2025-10-03 08:18:43
★苗栗公館鄉農地Ｂ,苗栗縣公館鄉館義路,,土地,974.96,,,,無車位,1,9310SJ,2025-10-03 08:18:43
★苗栗公館鄉農地Ａ,苗栗縣公館鄉館義路,,土地,1009.65,,,,無車位,1,4883MW,2025-10-03 08:18:43
獨門獨院自有農場三房車位,苗栗縣苗栗市中華東街,15.7年,其它,35.36,35.37,3房2廳2衛1室(含加蓋1室),1-3樓/3樓,一樓平面車位,2,7742NP,2025-10-03 08:18:43
苗栗面國小土地,苗栗縣獅潭鄉中豐公路,,土地,133.92,,,,無車位,398,65271U,2025-10-03 08:18:43
近信義國小美透天,苗栗縣頭份市建興街,21.3年,透天,57.81,50.96,5房3廳2.5衛(含加蓋1房),1-3樓/3樓,其他,1,7463FH,2025-10-03 08:18:43
公館鄉震後溫馨別墅,苗栗縣公館鄉福基,18.3年,透天,63.81,59.91,4房2廳4衛,1-3樓/3樓,無車位,1,0809PX,2025-10-03 08:18:43
苗栗收租透天,苗栗縣苗栗市吉祥,40.9年,透天,32.95,31.29,8房2廳3衛(含加蓋3房1衛),1-2樓/2樓,無車位,598,95410N,2025-10-03 08:18:43
銅鑼站前稀有透天店面,苗栗縣銅鑼鄉中正路,43.4年,店面/透天,66.02,59.49,3房2廳3衛,1-3樓/3樓,無車位,1,7328GJ,2025-10-03 08:18:43
苗栗吉祥收租透天,苗栗縣苗栗市吉祥,40.9年,透天,32.95,31.29,10房2廳3衛(含加蓋3房1衛),1-2樓/2樓,無車位,650,59060Z,2025-10-03 08:18:43
苑裡車站⭐透天面寬金店,苗栗縣苑裡鎮中山路,42.8年,店面,104.01,94.52,2廳1衛1室,1-2樓/2樓,無車位,6,8038LF,2025-10-03 08:18:43
擁有屬於自己的開心農場,苗栗縣卓蘭鎮食水坑,,土地,897.58,,5房3廳2衛(含加蓋5房3廳2衛),1-1樓/1樓,無車位,1,2200GM,2025-10-03 08:18:43
苗栗日新街１樓小單位店鋪,苗栗縣苗栗市日新街,33.4年,店面,5.88,1.88,1廳,1樓/6樓,無車位,55,4468VZ,2025-10-03 08:18:43
苗栗西湖持分農地,苗栗縣西湖鄉五湖街,,土地,219.67,,,,無車位,155,6571ZR,2025-10-03 08:18:43
品藏捷笙ＡＲＴ＋三房,苗栗縣竹南鎮公北三路,預售,大樓,44.67,25.53,3房2廳2衛,6樓/15樓,坡道平面車位,2,6583QT,2025-10-03 08:18:43
三義鄉龍騰段土地Ａ,苗栗縣三義鄉苗四九鄉道,,土地,441.87,,,,無車位,278,9563XH,2025-10-03 08:18:43
三義鄉龍騰段土地Ｂ,苗栗縣三義鄉苗四九鄉道,,土地,9125.47,,,,無車位,5,0658AS,2025-10-03 08:18:43
三義鄉龍騰段土地Ｃ,苗栗縣三義鄉苗四九鄉道,,土地,2858.18,,,,無車位,1,6171LM,2025-10-03 08:18:43
造橋鄉路邊土地,苗栗縣造橋鄉大西二街,,土地,335.73,,,,無車位,388,0617ZJ,2025-10-03 08:18:53
三義八櫃土地稀有釋出,苗栗縣三義鄉苗五十一縣道,,土地,9087.91,,,,無車位,31,6518HD,2025-10-03 08:18:53
公館市區優質農舍,苗栗縣公館鄉玉泉,12.6年,其它,42.92,42.92,6房2廳3衛,1-2樓/0樓,無車位,2,BB03610GH,2025-10-03 08:18:53
田美休閒農地759,苗栗縣南庄鄉田尾段,,土地,759.28,,,0樓/0樓,無車位,398,BS31607HB,2025-10-03 08:18:53
(專)南房美田732,苗栗縣苑裡鎮房南,,土地,732.66,,,0樓/0樓,無車位,865,BS36343HB,2025-10-03 08:18:53
頭份民族工業地,苗栗縣頭份市東庄段,,土地,266.52,,,0樓/0樓,無車位,5,BS42547HB,2025-10-03 08:18:53
美居仰森景觀車位大三房,苗栗縣頭份市公園三街,10.3年,大樓,47.67,30.74,3房2廳2衛,9樓/14樓,坡道機械車位,1,BS44600HB,2025-10-03 08:18:53
青遠身如墨 雲中見硯山,苗栗縣頭屋鄉曲洞村,,土地,1856.44,,,0樓/0樓,無車位,5,BS44792HB,2025-10-03 08:18:53
A3179大坪數三房廈,苗栗縣竹南鎮光德路,31.1年,華廈,35.59,31.47,3房2廳2衛,3樓/5樓,無車位,686,BS46197HB,2025-10-03 08:18:53
專任-龍山居邑車位美三房,苗栗縣竹南鎮龍山路三段,27.4年,華廈,46.52,32.84,3房2廳2衛,7樓/10樓,其他,858,BS46972HB,2025-10-03 08:18:53
文華超夯好宅,苗栗縣苗栗市北苗里,31.4年,別墅/透天,36.71,35.86,4房2廳3衛,1-3樓/3樓,其他,1,BS47591HB,2025-10-03 08:18:53
公館交流道旁建地,苗栗縣公館鄉新岡段,,土地,51.09,,,0樓/0樓,無車位,380,BS49122HB,2025-10-03 08:18:53
北苗商圈臨路美田,苗栗縣苗栗市嘉盛段,,土地,931.4,,,0樓/0樓,無車位,7,BS49384HB,2025-10-03 08:18:53
K200十甲樂活養生建地+農地,苗栗縣頭份市親民段,,土地,29043.68,,,0樓/0樓,無車位,31,BS49575HB,2025-10-03 08:18:53
